device_id;timestamp;pressure_value;temp_value;humidity_value
BME680;2025-12-19-17-40-00;0.97594;19.846;77.217
BME680;2025-12-19-17-50-00;0.97596;19.8518;76.2209
BME680;2025-12-19-18-00-00;0.97595;19.8543;77.31
BME680;2025-12-19-18-10-00;0.97591;19.8741;73.6539
BME680;2025-12-19-18-20-00;0.97586;19.8747;74.041
BME680;2025-12-19-18-30-00;0.97578;19.8769;74.9948
BME680;2025-12-19-18-40-00;0.97572;19.8884;74.5794
BME680;2025-12-19-18-50-00;0.9757;19.8963;73.553
BME680;2025-12-19-19-00-00;0.97572;19.8925;76.634
BME680;2025-12-19-19-10-00;0.97575;19.9116;78.2102
BME680;2025-12-19-19-20-00;0.97575;19.9288;77.6685
BME680;2025-12-19-19-30-00;0.97573;19.9607;76.7808
BME680;2025-12-19-19-40-00;0.97574;19.974;76.6973
BME680;2025-12-19-19-50-00;0.97576;20.0052;74.4812
BME680;2025-12-19-20-00-00;0.97574;20.01;78.5082
BME680;2025-12-19-20-10-00;0.9757;19.9511;56.2981
BME680;2025-12-19-20-20-00;0.97566;19.9333;77.5911
BME680;2025-12-19-20-30-00;0.97564;19.8177;75.7956
BME680;2025-12-19-20-40-00;0.97559;19.7983;77.5903
BME680;2025-12-19-20-50-00;0.9755;19.8072;63.0385
BME680;2025-12-19-21-00-00;0.97541;19.7805;57.215
BME680;2025-12-19-21-10-00;0.97537;19.8043;68.9261
BME680;2025-12-19-21-20-00;0.97534;19.8779;65.2067
BME680;2025-12-19-21-30-00;0.97531;19.9282;63.0374
BME680;2025-12-19-21-40-00;0.97526;19.9457;70.3489
BME680;2025-12-19-21-50-00;0.97524;19.9368;61.5516
BME680;2025-12-19-22-00-00;0.97516;19.903;59.7077
BME680;2025-12-19-22-10-00;0.97506;19.8683;55.22
BME680;2025-12-19-22-20-00;0.97496;19.8486;58.195
BME680;2025-12-19-22-30-00;0.97491;19.832;64.5175
BME680;2025-12-19-22-40-00;0.97488;19.8553;55.6775
BME680;2025-12-19-22-50-00;0.97481;19.8706;53.6688
BME680;2025-12-20-06-20-00;0.97399;19.8846;56.2332
BME680;2025-12-20-06-30-00;0.97267;19.847;48.2696
BME680;2025-12-20-06-40-00;0.97209;19.8317;68.0147
BME680;2025-12-20-06-50-00;0.9719;19.7881;66.8608
BME680;2025-12-20-07-00-00;0.9718;19.7671;57.4194
BME680;2025-12-20-07-10-00;0.97177;19.7712;73.0136
BME680;2025-12-20-07-20-00;0.97181;19.7986;62.2547
BME680;2025-12-20-07-30-00;0.97183;19.8008;65.232
BME680;2025-12-20-07-40-00;0.97186;19.7821;75.2569
BME680;2025-12-20-07-50-00;0.97189;19.77;75.3883
BME680;2025-12-20-08-00-00;0.97188;19.7292;77.3431
BME680;2025-12-20-08-10-00;0.97186;19.7782;71.3725
BME680;2025-12-20-08-30-00;0.97164;20.0253;73.7273
BME680;2025-12-20-08-40-00;0.97159;20.0995;63.1037
BME680;2025-12-20-08-50-00;0.97154;20.1201;77.8133
BME680;2025-12-20-09-00-00;0.97152;20.1068;78.3546
BME680;2025-12-20-09-10-00;0.97154;20.0788;80.5093
BME680;2025-12-20-09-20-00;0.97156;20.0221;56.5501
BME680;2025-12-20-09-30-00;0.9715;20.0351;64.2971
BME680;2025-12-20-09-40-00;0.97152;20.0316;69.0474
BME680;2025-12-20-09-50-00;0.97157;20.0103;76.8923
BME680;2025-12-20-10-00-00;0.97159;20.0055;76.5763
BME680;2025-12-20-10-10-00;0.97163;20.0116;70.7555
BME680;2025-12-20-10-20-00;0.97165;20.038;71.4806
BME680;2025-12-20-10-30-00;0.97164;20.094;65.3785
BME680;2025-12-20-10-40-00;0.97163;20.1179;66.1556
BME680;2025-12-20-10-50-00;0.97156;20.0959;74.0207
BME680;2025-12-20-11-00-00;0.97147;20.0768;76.8335
BME680;2025-12-20-11-10-00;0.97136;20.1147;65.1944
BME680;2025-12-20-11-20-00;0.97125;20.1714;61.9742
BME680;2025-12-20-11-30-00;0.97111;20.2332;64.3211
BME680;2025-12-20-11-40-00;0.97097;20.2965;62.0719
BME680;2025-12-20-11-50-00;0.9709;20.3083;63.521
BME680;2025-12-20-12-00-00;0.97083;20.3338;63.2819
BME680;2025-12-20-12-10-00;0.97072;20.3427;66.4241
